datetime,tempmax,tempmin,humidity,precip,windspeed,sealevelpressure,cloudcover,solarradiation
2018-06-22,25.7,12.1,87.4,13.4,7.9,1016.0,93.3,224.7
2018-06-23,28.2,11.5,85.4,9.2,7.9,1016.0,92.7,224.3
2018-06-24,27.7,13.2,84.4,5.8,8.6,1015.5,94.5,230.0
2018-06-25,26.7,11.9,85.9,6.3,7.9,1015.6,84.0,251.4
2018-06-26,25.9,13.0,82.1,9.4,5.0,1016.8,93.4,212.9
2018-06-27,26.7,12.6,81.1,14.8,7.2,1016.7,80.2,245.2
2018-06-28,27.9,11.7,85.5,18.6,7.2,1016.8,84.3,194.1
2018-06-29,26.1,11.1,81.7,9.2,6.5,1017.3,84.2,213.7
2018-06-30,27.1,10.9,76.6,1.4,10.8,1016.7,91.7,247.5
2019-06-01,28.4,14.1,79.2,20.7,10.8,1012.6,92.3,183.7
2019-06-02,28.2,14.3,85.8,19.5,10.8,1012.6,89.3,175.9
2019-06-03,25.4,14.4,88.7,19.2,7.6,1013.5,97.4,165.4
2019-06-04,25.4,15.3,93.0,33.1,7.2,1015.5,99.1,52.8
2019-06-05,28.6,13.2,78.8,1.8,11.9,1015.2,88.3,278.8
2019-06-06,29.9,12.7,72.2,0.0,7.2,1013.4,86.0,265.0
2019-06-07,29.2,15.1,85.2,3.3,10.8,1013.9,93.4,194.1
2019-06-08,31.9,14.2,75.9,1.8,7.2,1013.4,71.2,276.7
2019-06-09,32.1,15.8,74.6,3.1,7.2,1014.5,63.0,261.4
2019-06-10,31.7,14.4,64.8,0.5,21.6,1015.9,41.6,331.0
2019-06-11,30.1,11.1,64.4,0.7,14.4,1016.5,62.1,304.7
2019-06-12,30.4,13.3,66.9,5.9,7.2,1014.4,63.8,274.1
2019-06-13,29.7,14.8,69.8,4.1,7.2,1015.0,86.7,216.1
2019-06-14,29.9,13.1,78.8,19.6,7.2,1016.5,79.2,188.4
2019-06-15,27.2,14.7,87.6,12.5,7.2,1016.2,93.3,170.9
2019-06-16,28.1,13.7,86.0,5.4,25.2,1015.7,79.5,253.4
2019-06-17,28.2,13.2,87.5,7.2,7.9,1015.5,82.3,236.6
2019-06-18,29.2,13.1,87.2,16.0,10.8,1016.3,90.1,209.4
2019-06-19,29.2,13.1,84.5,8.3,7.2,1016.5,86.9,256.8
2019-06-20,31.1,14.2,86.9,13.9,7.2,1015.4,80.9,224.0
2019-06-21,30.7,13.4,83.0,10.4,5.8,1015.4,80.8,245.3
2019-06-22,26.4,15.0,86.7,19.5,5.8,1017.3,94.0,164.7
2019-06-23,26.2,14.0,88.8,14.8,10.8,1016.4,91.0,205.5
2019-06-24,26.1,13.8,88.7,14.4,9.0,1015.8,92.7,188.9
2019-06-25,26.6,12.7,82.7,6.0,14.4,1015.7,92.7,263.6
2019-06-26,28.9,12.1,78.5,4.0,14.4,1015.4,72.4,250.6
2019-06-27,26.7,12.1,69.7,0.0,14.8,1016.0,39.2,311.8
2019-06-28,27.7,10.9,68.9,1.4,10.8,1016.3,20.8,285.2
2019-06-29,26.9,11.3,72.0,1.5,10.8,1017.4,47.2,252.5
2019-06-30,29.4,10.4,79.5,11.8,5.8,1017.1,75.3,224.5
2020-06-01,29.7,12.2,76.2,8.3,10.8,1014.5,78.5,232.6
2020-06-02,32.7,13.9,79.2,16.8,7.6,1014.0,85.2,222.3
2020-06-03,31.1,15.0,76.1,6.8,10.8,1012.5,91.1,235.4
2020-06-04,32.1,14.6,76.4,8.4,18.0,1010.6,88.6,238.7
2020-06-05,33.4,13.9,72.9,4.8,10.8,1011.4,72.3,248.4
2020-06-06,29.4,13.5,85.1,8.6,10.8,1013.9,78.2,225.6
2020-06-07,28.4,13.1,81.0,3.6,10.4,1014.2,63.6,254.9
2020-06-08,31.1,13.4,77.9,1.8,11.2,1014.9,62.9,285.4
2020-06-09,30.2,13.8,79.4,2.6,9.7,1014.6,78.1,267.3
